episode,epsilon,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,0.9995,0,0,0,0,-1.8677532382657502,-4.949893118304215,0.0045018503442406654,0.023257214576005936,1.5429152250289917
2,0.9990002500000001,0,0,0,-3.545049781361277,-3.627603888873265,0,0.0015719553921371698,0.02185644768178463,0.0004384245548862964
3,0.9985007498750001,1,1,0,-3.303166764231624,-2.5164860648754743,-3.546938175828931,0.004991085268557072,0.003159917891025543,0.0006210278370417655
4,0.9980014995000627,0,0,0,-4.505530111468172,-2.4749894915960478,-4.9815137261209355,0.839900553226471,6.838076591491699,0.44557949900627136
5,0.9975024987503127,0,0,0,-0.45277365345686604,-5.40974674697783,-20,0.14294670522212982,0.08969558030366898,0.03852013498544693
6,0.9970037475009376,0,0,0,0,-15.300434837373569,-15.969472787537624,0.05223642662167549,0.014900586567819118,0.013967468403279781
7,0.9965052456271871,1,1,0,10.941155661540092,-30.17002373629748,-17.057036195517725,1.3707033395767212,0.0003622281365096569,0.032492496073246
8,0.9960069930043736,3,0,3,-3.579960221382939,-2.518016681381419,-6.805526390809227,1.5701602697372437,0.1307649165391922,0.2720009684562683
9,0.9955089895078715,0,0,0,-17.944118626524546,-1.6734802265281168,-20.92248554205255,0.09975865483283997,0.0014586986508220434,22.610706329345703
10,0.9950112350131176,0,0,0,-10.113446181408078,-0.7343707399282762,-7.206758270671609,5.641718416882213e-06,2.070011854171753,64.56422424316406
11,0.9945137293956111,0,0,0,0,0,0,28.02780532836914,5.729236602783203,0.6784071922302246
12,0.9940164725309134,0,0,0,-20,-3.73942672752027,-4.83445610644945,0.0989694818854332,1.8010337352752686,9.231470108032227
13,0.993519464294648,0,0,0,-1.5444675421712528,0,-4.127813597246323,0.3394998610019684,2.853679895401001,8.533358573913574
14,0.9930227045625007,0,0,0,0,-2.3940670986599533,-22.18646854869622,7.079646110534668,62.14835739135742,0.06439340114593506
15,0.9925261932102195,1,0,1,-12.774731372660977,-5.509546526703271,0,14.636268615722656,0.0004841239133384079,57.18307113647461
16,0.9920299301136144,0,0,0,0,-20,-21.105274217530702,0.16021183133125305,51.21714782714844,11.908303260803223
17,0.9915339151485576,0,0,0,-2.1400749679213646,-8.635248843719623,-2.9811559086538195,0.04268912971019745,0.4222760498523712,0.25010693073272705
18,0.9910381481909833,0,0,0,-6.7209430496564675,-20,0,11.678645133972168,0.0016128681600093842,0.23454038798809052
19,0.990542629116888,0,0,0,-4.82732240949473,-2.4944900851846903,-3.9687486577805116,7.182703018188477,0.07614199817180634,7.357795238494873
